University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.25,10.06,1.38,3.99,11.18,2,21.7646387,15.4593984,9.90274121,24.6690879,7.1821377,7.93395752,5.65370605,8.98831934,17.9559707
21.27,31.36,4.21,10.74,34.75,6.1,182.003641,213.349125,91.9896172,217.985594,115.042523,72.8713984,95.9601406,112.876391,149.371016
30.01,39.86,4.05,11.41,45.94,4.45,190.636438,277.971,109.895836,229.593156,151.345156,80.7382266,119.585695,134.072688,159.556625
37.78,45.48,4.37,13.44,53.36,8.02,421.355156,608.999125,247.136875,506.277063,328.308406,177.0895,258.689969,289.213938,348.712531
206.11,312.81,49.1,113.05,316.75,74.28,480.469094,708.290375,296.638,577.590938,382.363938,203.201719,302.772188,335.974563,398.1485
289.46,445.48,67.9,155.2,388.19,97,477.742469,728.30025,290.447375,579.362375,395.395344,205.397578,312.490688,343.698219,399.189188
38.63,50.82,6.42,17.37,59.12,10.51,415.250688,660.3615,246.108953,508.607438,359.780594,175.355141,284.710344,311.225813,354.828594
30.5,36.6,4.34,11.93,43.38,4.45,238.440156,399.952156,140.421766,301.293594,210.476828,103.155836,159.215016,188.701844,211.153156
18.05,22.62,2.99,7.33,26.95,3.34,121.350547,220.183172,69.8934766,163.726766,109.208359,54.946375,79.4625703,106.285164,116.043375
6.64,9.3,1.45,3.01,9.84,1.9,12.7730918,32.6815039,9.23353027,21.2291738,13.5369043,6.66132227,10.5046611,15.3883965,15.3283906
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.57,9.53,1.48,3.49,10.16,2.15,25.4611445,28.7899121,14.1077773,29.7711211,14.8392012,10.0248047,11.6782451,14.4927012,21.0561934
20.07,25.98,2.38,8.23,30.71,3.44,182.309891,194.569594,87.1839297,217.960516,105.415852,71.6371016,89.5695547,107.030539,148.331438
29.75,39.6,4.05,11.37,45.59,4.48,309.660094,387.707688,163.029219,364.479344,216.672875,126.824961,172.901047,197.278266,250.875875
37.49,44.65,4.27,13.19,52.4,7.87,373.375813,538.5075,219.908391,448.730188,288.964438,157.212547,227.923594,255.635703,309.0895
287.89,444.98,67.9,155.2,383.52,97,456.064344,682.929313,280.430469,550.951188,368.151281,194.481797,291.019781,321.999313,381.335656
287.67,441.96,67.9,155.2,387.28,97,411.042906,635.369063,250.373406,499.985188,345.19575,177.393016,272.306594,299.701813,346.1255
37.76,43.38,4.75,14.59,52.56,8.02,344.295719,551.406,205.779969,422.547125,300.556781,146.425016,237.456125,259.608234,295.007125
30.22,36.17,4.28,11.79,42.91,4.36,211.319016,352.76075,124.214391,264.009156,186.562406,91.1787422,142.585328,166.749031,185.418672
19.86,24.42,3.19,7.86,29.25,3.47,109.388992,193.535688,64.1495273,143.191969,99.1898438,49.0770195,73.5039375,92.4996719,101.689984
6.87,9.55,1.49,2.95,10.23,1.86,13.1759961,29.887832,8.99005176,19.8805176,13.6861582,6.55003613,10.6519766,14.0525977,14.3541182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
